Wavelength Dull_1_Diffuse Dull_1_Specular Dull_2_Diffuse Dull_2_Specular Bright_1_Diffuse Bright_1_Specular Bright_2_Diffuse Bright_2_Specular
2500.0 67.56166077 37.82859803 70.33132935 33.80661775 27.47856331 73.62833209 34.10712433 65.7264862
2498.0 64.68776703 42.13628387 70.47956085 34.47306065 31.73856354 69.55109406 32.19406128 68.90126802
2496.0 67.31009674 37.53382876 70.21492004 33.93881226 29.4798336 72.726923 33.62503815 67.38895415
2494.0 68.75773621 37.39873509 70.66664124 34.68707276 33.85697556 66.90079114 33.31576538 68.55252842
2492.0 67.39874268 36.75082402 71.77433777 34.27556613 33.82114029 64.25133133 33.80109787 69.57786943
2490.0 67.81369781 35.14479069 71.169487 33.8893738 35.86794662 62.3487053 33.67715454 68.71921536
2488.0 66.71430206 37.11264034 69.51396179 34.68088531 34.22433853 65.93689347 33.81301117 68.55921933
2486.0 68.4360733 36.2672119 71.77145386 35.15042114 34.19883728 66.06687162 33.26689911 70.06697079
2484.0 67.88682556 33.84350584 71.55070496 32.16915894 29.68983269 71.10441021 34.01234055 67.03510665
2482.0 67.58253479 37.85462191 72.03714752 33.76540378 31.29504967 70.12967113 33.81381226 68.47773744
2480.0 71.77812195 34.65258785 70.86676025 33.17745205 36.80764771 65.96101379 34.987957 66.7898827
2478.0 68.16720581 34.13112639 70.61605835 34.13283535 33.74567413 65.81077576 33.78587723 69.04407887
2476.0 69.87760925 33.47324375 69.13310242 35.10643008 32.07768631 66.60620499 32.74446869 67.45213321
2474.0 64.16461945 38.13738255 70.98134613 32.86644747 31.51963043 69.08633427 33.99230957 65.94832611
2472.0 70.07105255 36.72114565 72.45589447 32.91265873 36.09447098 67.10746382 34.42687988 69.27294922
2470.0 69.49472046 35.63094334 70.27626038 33.29798892 35.17195129 64.31401062 34.20896912 66.95872498
2468.0 71.16500092 37.23778538 70.68199921 34.60553739 32.68766403 72.30698777 33.33788681 68.89123149
2466.0 65.92162323 39.82201387 70.45436096 33.27732854 41.65790558 58.34877012 35.04298019 65.23432541
2464.0 68.00720978 34.98314662 70.68907928 33.39709472 33.68941879 66.16328049 33.49343872 67.58245848
2462.0 68.48104858 37.65792852 70.02132416 33.88072964 35.98739243 69.13153457 35.07634354 66.58183666
2460.0 70.41169739 33.85444641 71.59546661 33.89858249 33.50576019 64.6855011 33.47454834 69.15252686
2458.0 72.96011353 33.97515867 71.35442352 33.75267788 32.63544846 69.89870074 33.6885376 67.7911987
2456.0 68.57191467 33.84721373 71.00561523 33.05000307 36.98057175 60.23836898 33.31465912 69.02989958
2454.0 71.47078705 34.56382755 70.52812195 34.79819485 35.31808853 66.19340137 33.16111755 68.93870545
2452.0 68.27913666 33.71289824 70.97133636 33.58809664 33.04597092 63.6626091 34.9288063 66.1747246
2450.0 68.40914154 36.43187716 70.64008331 33.16757199 34.20394516 66.19038774 32.46672821 68.35559079
2448.0 69.67345428 34.15222172 71.16091156 33.33869174 30.77906036 68.30629731 33.02692032 68.96989818
2446.0 66.88279724 37.66843416 70.64182281 33.63271329 31.47962761 66.53412056 34.24886322 67.25550078
2444.0 69.36560059 35.80962371 72.21847534 33.89665226 33.57759476 67.06090164 33.82183456 69.00078204
2442.0 67.37680054 37.97258756 72.39317322 32.52101138 31.61403275 68.62892535 34.63607407 67.36253743
2440.0 70.00276947 37.88541413 71.18287659 33.31829071 35.60899353 64.45524597 32.88175201 69.40867619
2438.0 66.80610657 35.33870693 72.0380249 32.6679306 32.21417618 64.48171615 33.89577484 67.92910766
2436.0 68.74208832 37.78754428 70.4593277 34.3346024 32.91358185 67.69255065 33.2878685 67.8378868
2434.0 68.0610199 37.2478332 70.86074066 32.94210814 34.97854233 63.19305038 34.13625336 67.53307344
2432.0 68.2273941 35.6588135 71.71279907 33.07502743 35.02613449 65.40275951 34.9122467 66.5690002
2430.0 69.45219421 34.87157439 71.41365051 33.49317169 35.67003632 64.37737278 33.689888 68.1219711
2428.0 70.01498413 33.21932987 71.00366974 33.20010376 34.41082764 64.71537017 34.08316803 66.99378207
2426.0 68.36164856 34.45073704 71.2877121 32.4447403 34.39376831 62.95926666 35.0696373 66.5393105
